"Authority","Pothole and Challenge Fund","HMB needs","HMB incentive","ITB","Total","ons_code"
"Halton","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000006"
"Knowsley","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000011"
"Liverpool","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000012"
"Sefton","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000014"
"St. Helens","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000013"
"Wirral","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000015"
"Tees Valley CA","6,891","7,601","1,583","4,746","20,821","E47000006"
"Hartlepool","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000001"
"Middlesbrough","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000002"
"Redcar and Cleveland","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000003"
"Stockton-on-Tees","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000004"
"Darlington","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000005"
"North East CA","Money allocated to local authority","Money allocated to local authority","Money allocated to local authority","13,949","13,949","E47000010"
"County Durham","8,448","9,564","1,992","Money allocated to combined authority","20,004","E06000047"
"Northumberland","11,421","14,036","2,923","Money allocated to combined authority","28,380","E06000057"
"Gateshead","1,996","2,204","459","Money allocated to combined authority","4,659","E08000037"
"Newcastle upon Tyne","2,178","2,184","455","Money allocated to combined authority","4,817","E08000021"
"North Tyneside","1,851","1,817","378","Money allocated to combined authority","4,046","E08000022"
"South Tyneside","1,275","1,246","260","Money allocated to combined authority","2,781","E08000023"
"Sunderland","2,612","2,660","554","Money allocated to combined authority","5,826","E08000024"
"Kingston upon Hull, City of","1,668","1,811","377","2,230","6,086","E06000010"
"East Riding of Yorkshire","7,915","8,889","1,851","1,640","20,295","E06000011"
"North East Lincolnshire","1,505","1,606","334","1,479","4,924","E06000012"
"North Lincolnshire","3,194","3,702","771","1,159","8,826","E06000013"
"York","1,815","1,827","380","1,570","5,592","E06000014"
"North Yorkshire UTLA","20,773","23,858","4,969","3,023","52,623","E10000023"
"Sheffield City Region CA","13,605","10,113","2,106","8,428","34,252","E47000002"
"Barnsley","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000016"
"Doncaster","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000017"
"Rotherham","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000018"
"Sheffield","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000019"
"West Yorkshire CA","21,944","23,507","4,896","13,104","63,451","E47000003"
"Bradford","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000032"
"Calderdale","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000033"
"Kirklees","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000034"
"Leeds","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000035"
"Wakefield","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000036"
"Cambridgeshire and Peterborough CA","12,554","14,862","3,095","4,597","35,108","E47000008"
"Cambridgeshire UTLA","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E10000003"
"Peterborough","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000031"
"Luton","1,045","1,101","229","1,457","3,832","E06000032"
"Southend-on-Sea","1,032","1,121","233","1,401","3,787","E06000033"
"Thurrock","1,336","1,604","334","971","4,245","E06000034"
"Bedford","2,069","2,402","150","1,153","5,774","E06000055"
"Central Bedfordshire","3,355","3,586","747","1,365","9,053","E06000056"
"Essex UTLA","17,979","19,774","4,119","6,275","48,147","E10000012"
"Hertfordshire UTLA","11,362","14,327","2,984","4,568","33,241","E10000015"
"Norfolk UTLA","22,231","23,043","4,799","4,141","54,214","E10000020"
"Suffolk UTLA","15,620","17,553","3,656","3,246","40,075","E10000029"
"West of England CA","8,519","10,254","2,135","5,183","26,091","E47000009"
"Bath and North East Somerset","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000022"
"Bristol, City of","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000023"
"South Gloucestershire","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E06000025"
"North Somerset","2,610","3,229","672","972","7,483","E06000024"
"Plymouth","1,794","1,871","390","1,944","5,999","E06000026"
"Torbay","1,212","1,174","244","1,063","3,693","E06000027"
"Bournemouth, Christchurch and Poole","2,864","3,084","641","3,078","9,667","E06000058"
"Swindon","2,016","2,253","469","1,378","6,116","E06000030"
"Cornwall","16,426","18,254","3,802","4,105","42,587","E06000052"
"Isles of Scilly","89","0","0","0","89","E06000053"
"Wiltshire","10,930","13,357","2,782","2,181","29,250","E06000054"
"Devon UTLA","28,869","34,042","7,090","3,601","73,602","E10000008"
"Dorset","9,112","10,564","2,201","1,971","23,848","E06000059"
"Gloucestershire UTLA","12,667","14,350","2,989","2,861","32,867","E10000013"
"Somerset UTLA","15,402","18,116","3,773","2,209","39,500","E10000027"
